/content/keras-retinanet/dataset/ONLY_WCC_LABELS_5/Label_Data_3_Tile_25.jpeg,,,,,
/content/keras-retinanet/dataset/ONLY_WCC_LABELS_5/wyndham-lga_2019dec17_air_vis_10cm_mga552314.jpeg,498,318,559,365,TreeCrown
/content/keras-retinanet/dataset/ONLY_WCC_LABELS_5/wyndham-lga_2019dec17_air_vis_10cm_mga552314.jpeg,689,349,736,386,TreeCrown
/content/keras-retinanet/dataset/ONLY_WCC_LABELS_5/wyndham-lga_2019dec17_air_vis_10cm_mga552314.jpeg,413,310,448,351,TreeCrown
/content/keras-retinanet/dataset/ONLY_WCC_LABELS_5/wyndham-lga_2019dec17_air_vis_10cm_mga552314.jpeg,227,294,268,329,TreeCrown
/content/keras-retinanet/dataset/ONLY_WCC_LABELS_5/wyndham-lga_2019dec17_air_vis_10cm_mga552314.jpeg,71,163,125,209,TreeCrown
/content/keras-retinanet/dataset/ONLY_WCC_LABELS_5/wyndham-lga_2019dec17_air_vis_10cm_mga552314.jpeg,588,235,622,268,TreeCrown
/content/keras-retinanet/dataset/ONLY_WCC_LABELS_5/wyndham-lga_2019dec17_air_vis_10cm_mga552314.jpeg,364,712,430,760,TreeCrown
/content/keras-retinanet/dataset/ONLY_WCC_LABELS_5/wyndham-lga_2019dec17_air_vis_10cm_mga552314.jpeg,210,705,259,739,TreeCrown
/content/keras-retinanet/dataset/ONLY_WCC_LABELS_5/wyndham-lga_2019dec17_air_vis_10cm_mga552314.jpeg,142,335,179,371,TreeCrown
/content/keras-retinanet/dataset/ONLY_WCC_LABELS_5/wyndham-lga_2019dec17_air_vis_10cm_mga552314.jpeg,44,264,100,316,TreeCrown
/content/keras-retinanet/dataset/ONLY_WCC_LABELS_5/Label_Data_7_Tile_29.jpeg,214,158,372,305,TreeCrown
/content/keras-retinanet/dataset/ONLY_WCC_LABELS_5/Label_Data_7_Tile_29.jpeg,130,126,223,236,TreeCrown
/content/keras-retinanet/dataset/ONLY_WCC_LABELS_5/Label_Data_7_Tile_29.jpeg,172,1,224,52,TreeCrown
/content/keras-retinanet/dataset/ONLY_WCC_LABELS_5/Label_Data_7_Tile_29.jpeg,82,432,171,515,TreeCrown
